,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"RT @dan1shx: #dogecoin 
Who else is holding rn and is PROUD of where your money was? Retweet this if its you! #doge #dogetothemoon https://â€¦"," #dogecoin 
who else is holding rn and is proud of where your money was? retweet this if its you! #doge #dogetothemoon https://â€¦",1.0,1.0,positive,,,,
1,@coinbase is there any timeframe to get $doge on your platform? #dogecoin #dogearmy #dogetothemoon #doge,@coinbase is there any timeframe to get $doge on your platform? #dogecoin #dogearmy #dogetothemoon #doge,0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,"RT @ChairwomanDoge: winner will be announced for the $500 giveaway in the morning.. 

iâ€™m too locked into #dogecoin right now ğŸ¤£"," winner will be announced for the $500 giveaway in the morning.. 

iâ€™m too locked into #dogecoin right now ğŸ¤£",0.2857142857142857,0.5357142857142857,positive,,,,
3,"RT @FrenchyBro: I feel like $DOGE is gonna flip $BNB really soon ğŸš€
3rd market cap and you still donâ€™t believe in $DOGE what else do you neeâ€¦"," i feel like $doge is gonna flip $bnb really soon ğŸš€
3rd market cap and you still donâ€™t believe in $doge what else do you neeâ€¦",0.1,0.1,positive,,,,
4,RT @ashwsbreal: Hit that retweet if you are looking at #dogecoin price right now!!, hit that retweet if you are looking at #dogecoin price right now!!,0.4464285714285714,0.5357142857142857,neutral,0.0,1.0,0.0,0.0
5,"RT @DailyDogeUpdate: RANDOM AIRDROP!

Sending one person 5000 $DOGE ğŸ‘

To Enter:

â€¢ FOLLOW ME ğŸš€
â€¢ RETWEET THIS ğŸ¤“
â€¢ LIKE ğŸ—£
â€¢ Comment your waâ€¦"," random airdrop!

sending one person 5000 $doge ğŸ‘

to enter:

â€¢ follow me ğŸš€
â€¢ retweet this ğŸ¤“
â€¢ like ğŸ—£
â€¢ comment your waâ€¦",-0.625,0.5,positive,,,,
6,"RT @DogeEurope: Limber up fellow #dogecoin holders, next wave is coming! ğŸš€ğŸš€ğŸš€ #dogecoin #Dogecoinarmy #doge #DogecoinRise #Dogefather #DogeTâ€¦"," limber up fellow #dogecoin holders, next wave is coming! ğŸš€ğŸš€ğŸš€ #dogecoin #dogecoinarmy #doge #dogecoinrise #dogefather #dogetâ€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,"RT @ChairwomanDoge: ALERT ğŸš¨ 

We are less than 500 followers away from 20k followers

I will be giving away $500 worth of $DOGE to a luckyâ€¦"," alert ğŸš¨ 

we are less than 500 followers away from 20k followers

i will be giving away $500 worth of $doge to a luckyâ€¦",0.06666666666666667,0.08333333333333334,positive,,,,
8,"RT @doge_spain: 1$ it's innevitable, coinbase adding #dogecoin it's innevitable, be the third coin in market cap it's innevitable ğŸ“ˆğŸš€ #dogeaâ€¦"," 1$ it's innevitable, coinbase adding #dogecoin it's innevitable, be the third coin in market cap it's innevitable ğŸ“ˆğŸš€ #dogeaâ€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
9,RT @Desh_ka_hindu: Let's go to the moon #dogearmy #dogecoin #dogetothemoon https://t.co/yWuZ2CYfnY, let's go to the moon #dogearmy #dogecoin #dogetothemoon https://t.co/ywuz2cyfny,0.0,0.0,neutral,0.0,1.0,0.0,0.0
10,"RT @Phemex_official: The #DogeFather is gonna be on #SNL tonight! What do you think will happen to $DOGE? ğŸ˜¬ 

#Dogecoin #elonmusk #Crypto #â€¦"," the #dogefather is gonna be on #snl tonight! what do you think will happen to $doge? ğŸ˜¬ 

#dogecoin #elonmusk #crypto #â€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
11,Waiting awhile  for #Dogecoin to get to a dollar while people are selling...,waiting awhile  for #dogecoin to get to a dollar while people are selling...,0.0,0.0,neutral,0.0,1.0,0.0,0.0
12,RT @AmericanCancer: #Dogecoin ğŸª™  is now officially on our list of accepted cryptocurrencies. COVID-19 reduced our ability to fund cancer reâ€¦, #dogecoin ğŸª™  is now officially on our list of accepted cryptocurrencies. covid-19 reduced our ability to fund cancer reâ€¦,0.0,0.0,neutral,0.185,0.63,0.185,-0.25
13,RT @OGkevingill: $Doge #DogeCoin https://t.co/CT5mYQFBbI, $doge #dogecoin https://t.co/ct5myqfbbi,0.0,0.0,neutral,0.0,1.0,0.0,0.0
14,@TTV_LilBeatz @loveacrc @elonmusk share! please #dogecoin,@ttv_lilbeatz @loveacrc @elonmusk share! please #dogecoin,0.0,0.0,positive,,,,
15,"RT @VEVOosiris: Alright Europe, you better do us proud.#dogecoin"," alright europe, you better do us proud.#dogecoin",0.5,0.5,positive,,,,
16,"RT @Youngest_Dude: @elonmusk Giving away 20,000 #dogecoin to first 100 people 

Must complete these taste below 

1. Follow @Youngest_Dudeâ€¦"," @elonmusk giving away 20,000 #dogecoin to first 100 people 

must complete these taste below 

1. follow @youngest_dudeâ€¦",0.175,0.3666666666666667,positive,,,,
17,RT @CryptoKristal: I couldnâ€™t wait to put it on!!! Come get yours in my store!!! ğŸš€ğŸš€ğŸš€ğŸš€ğŸš€DOGECOIN SWAGâ€¼ï¸ https://t.co/CcY7erhkeo come help youâ€¦, i couldnâ€™t wait to put it on!!! come get yours in my store!!! ğŸš€ğŸš€ğŸš€ğŸš€ğŸš€dogecoin swagâ€¼ï¸ https://t.co/ccy7erhkeo come help youâ€¦,0.0,0.0,positive,,,,
18,"RT @DogecoinTA: #Dogecoin is at $0.71 and the price looks strong. SNL is very soon but we still have time for a higher jump.

RT if you wanâ€¦"," #dogecoin is at $0.71 and the price looks strong. snl is very soon but we still have time for a higher jump.

rt if you wanâ€¦",0.29444444444444445,0.5111111111111111,positive,,,,
19,"RT @Phemex_official: Do you think $DOGE will hit the $1 milestone during @elonmusk SNL debut? ğŸ‘€

#ElonMusk #ElonSNL #doge #dogecoin #Dogefaâ€¦"," do you think $doge will hit the $1 milestone during @elonmusk snl debut? ğŸ‘€

#elonmusk #elonsnl #doge #dogecoin #dogefaâ€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
20,"RT @AndySan34394211: Who said that #Dogecoin is the people's currency?
#BSV beats all cryptos in usability by a mile!
To start with, BSV châ€¦"," who said that #dogecoin is the people's currency?
#bsv beats all cryptos in usability by a mile!
to start with, bsv châ€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
21,"RT @Safemoon_CEO: #giveaway 

If #dogecoin hit $1.5  tonight Iâ€™m gonna giveaway $1,500 to 2 people
 (each $ 750) celebrate ğŸ‰ 

Retweetâ€™s â¤ï¸â€¦"," #giveaway 

if #dogecoin hit $1.5  tonight iâ€™m gonna giveaway $1,500 to 2 people
 (each $ 750) celebrate ğŸ‰ 

retweetâ€™s â¤ï¸â€¦",0.0,0.0,positive,,,,
23,RT @Nova_Premium: Wen moon #SAFEMOON #dogecoin, wen moon #safemoon #dogecoin,0.0,0.0,neutral,0.0,1.0,0.0,0.0
24,"RT @dan1shx: #Dogecoin
JUST KEEP HOLDING #doge WE'RE GOINGGG TO A DOLLAR TONIGHTTTTTTTT!!!!!! 
#dogelon 
#dogetothemoon https://t.co/ZukqjMâ€¦"," #dogecoin
just keep holding #doge we're goinggg to a dollar tonightttttttt!!!!!! 
#dogelon 
#dogetothemoon https://t.co/zukqjmâ€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
25,RT @vanessabaldy: good luck american dollar #Dogecoins #dogecoin #doge #dogearmy #DogeCoinTo1Dollar #Dogefather #DogecoinToTheMoon @elonmusâ€¦, good luck american dollar #dogecoins #dogecoin #doge #dogearmy #dogecointo1dollar #dogefather #dogecointothemoon @elonmusâ€¦,0.35,0.30000000000000004,positive,,,,
26,"RT @Viper_Stream: Don't forget to enter our 10 MILLION Coin GiveAway:

https://t.co/k5b36Uzhblâ€¦

Like &amp; Retweet = ğŸ‘

#Cryptocurrency #Cryptâ€¦"," don't forget to enter our 10 million coin giveaway:

https://t.co/k5b36uzhblâ€¦

like &amp; retweet = ğŸ‘

#cryptocurrency #cryptâ€¦",0.0,0.0,positive,,,,
27,"RT @BiafraS41364171: Desmond Elliot finally got a chance to clear the air.

#dogecoin Scammer TO THE MOON Deborah Racksterli Israel Jack #Wâ€¦"," desmond elliot finally got a chance to clear the air.

#dogecoin scammer to the moon deborah racksterli israel jack #wâ€¦",0.05000000000000001,0.6916666666666667,positive,,,,
28,"RT @Eljaboom: #dogecoin on a Moon mission ğŸ’ª 
@elonmusk lead your #dogearmy 

 https://t.co/G8JLaO7DQM"," #dogecoin on a moon mission ğŸ’ª 
@elonmusk lead your #dogearmy 

 https://t.co/g8jlao7dqm",0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,RT @PrenzelSam: Hey @Nike @Jumpman23  think you guys will be accepting #dogecoin anytime soon?, hey @nike @jumpman23  think you guys will be accepting #dogecoin anytime soon?,0.0,0.0,positive,,,,
30,RT @KissaGwendolyn: RT if you agree #dogecoin #dogetothemoon https://t.co/Vlj8gK8IKy, rt if you agree #dogecoin #dogetothemoon https://t.co/vlj8gk8iky,0.0,0.0,positive,,,,
31,"RT @Oliver01872580: #dogecoin TO THE MOON!!!! THANK @elonmusk 
#Dogecoinarmy #DogeCoinTo1Dollar #DogecoinDark #DogeCoinTheMoon #Dogefatherâ€¦"," #dogecoin to the moon!!!! thank @elonmusk 
#dogecoinarmy #dogecointo1dollar #dogecoindark #dogecointhemoon #dogefatherâ€¦",0.0,0.0,positive,,,,
32,The #DogeArmy community has value...therefore #dogecoin has unimaginable value &amp; power! https://t.co/3RpMw7Q9I5,the #dogearmy community has value...therefore #dogecoin has unimaginable value &amp; power! https://t.co/3rpmw7q9i5,0.0,0.0,positive,,,,
33,RT @SAFEMOONSQUAD: CRYPTO IS THE BEST SIDE HUSTLE EVER ğŸ’¸ğŸ’¸ğŸ’¸ #SAFEMOON #DOGECOIN, crypto is the best side hustle ever ğŸ’¸ğŸ’¸ğŸ’¸ #safemoon #dogecoin,1.0,0.3,positive,,,,
34,RT @pedropablom76: Just do it .... #dogecoin #dogearmy #dogetothemoon https://t.co/LE7fdDM3jQ, just do it .... #dogecoin #dogearmy #dogetothemoon https://t.co/le7fddm3jq,0.0,0.0,neutral,0.0,1.0,0.0,0.0
35,RT @Jayjaywear1: Impulse buy on #dogecoin?, impulse buy on #dogecoin?,0.0,0.0,neutral,0.0,1.0,0.0,0.0
37,RT @dogelettuce: .80 tonight??? ğŸ‘€ğŸ‘€ğŸ‘€ğŸš€ #dogecoin $doge, .80 tonight??? ğŸ‘€ğŸ‘€ğŸ‘€ğŸš€ #dogecoin $doge,0.0,0.0,neutral,0.0,1.0,0.0,0.0
38,"RT @ShaunWitriol: 1.7M #hodlers ğŸ¤¯

With a MC of $4,301,940,032 on Day 67!

You know......whatâ€™s coming! ğŸ˜‰

ğŸš€ğŸ”’ğŸŒ•ğŸ‘¨ğŸ»â€ğŸš€
#SAFEMOON #SAFEMOONARMYâ€¦"," 1.7m #hodlers ğŸ¤¯

with a mc of $4,301,940,032 on day 67!

you know......whatâ€™s coming! ğŸ˜‰

ğŸš€ğŸ”’ğŸŒ•ğŸ‘¨ğŸ»â€ğŸš€
#safemoon #safemoonarmyâ€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
39,"RT @DogeEurope: Good morning Europe! These next 24 hours is going to be crazy,
#HODLE on and enjoy! ğŸš€ğŸš€ğŸš€ #dogearmy #doge #dogecoin #Dogecoinâ€¦"," good morning europe! these next 24 hours is going to be crazy,
#hodle on and enjoy! ğŸš€ğŸš€ğŸš€ #dogearmy #doge #dogecoin #dogecoinâ€¦",0.19375,0.5,positive,,,,
41,RT @AnonymousQueso: It finally happened ladies and gentlemen!! #dogetothemoon #dogecoin ğŸš€ğŸš€ğŸ’¯ğŸ’¯ https://t.co/2Vg7VP0UXa, it finally happened ladies and gentlemen!! #dogetothemoon #dogecoin ğŸš€ğŸš€ğŸ’¯ğŸ’¯ https://t.co/2vg7vp0uxa,0.0,1.0,neutral,0.0,1.0,0.0,0.0
42,RT @415_707_49_24_7: @EricG1247 $20k buys A LOT of #dogecoin just saying. #DogeCoinTo1Dollar #doge #ElonMuskGivemeADogeTweet, @ericg1247 $20k buys a lot of #dogecoin just saying. #dogecointo1dollar #doge #elonmuskgivemeadogetweet,0.0,0.0,neutral,0.0,1.0,0.0,0.0
43,"RT @Investingcom: âš ï¸BREAKING:

*DOGECOIN SOARS NEARLY 25% TO NEW RECORD HIGH OF $0.7298 CENTS

#DOGE #DOGECOIN ğŸš€ğŸš€ğŸš€ https://t.co/cwrysIbd6r"," âš ï¸breaking:

*dogecoin soars nearly 25% to new record high of $0.7298 cents

#doge #dogecoin ğŸš€ğŸš€ğŸš€ https://t.co/cwrysibd6r",0.1321212121212121,0.46484848484848484,neutral,0.0,1.0,0.0,0.0
44,RT @dogelettuce: Iâ€™m feeling $.70 soon ğŸ˜ğŸš€ #dogecoin, iâ€™m feeling $.70 soon ğŸ˜ğŸš€ #dogecoin,0.0,0.0,positive,,,,
45,RT @BeefSupreme1776: Who's ready to break some records?!?!!! #dogecoin $doge #doge, who's ready to break some records?!?!!! #dogecoin $doge #doge,0.48828125,0.5,positive,,,,
46,Everyone ready for tomorrow? #dogearmy #dogebois #doge #dogecoin #dogegirls #dogetomars #dogetothemoon @elonmusk,everyone ready for tomorrow? #dogearmy #dogebois #doge #dogecoin #dogegirls #dogetomars #dogetothemoon @elonmusk,0.2,0.5,positive,,,,
47,Todayâ€™s!!! The big day!!! Letâ€™s all make it happen!!! ğŸš€ğŸŒ™ #dogetothemoon #doge #dogeto1dollar #Dogecoin,todayâ€™s!!! the big day!!! letâ€™s all make it happen!!! ğŸš€ğŸŒ™ #dogetothemoon #doge #dogeto1dollar #dogecoin,0.0,0.1,neutral,0.0,1.0,0.0,0.0
48,RT @itsALLrisky: Me watching #Dogecoin right now ğŸ“ˆ https://t.co/bebpF6VLzh, me watching #dogecoin right now ğŸ“ˆ https://t.co/bebpf6vlzh,0.2857142857142857,0.5357142857142857,neutral,0.0,1.0,0.0,0.0
50,RT @RichardHeartWin: Looking for something more affordable than #dogecoin?  Something that's out performed it? I founded just what you needâ€¦, looking for something more affordable than #dogecoin?  something that's out performed it? i founded just what you needâ€¦,0.5,0.5,neutral,0.0,1.0,0.0,0.0
51,"ğŸ’°31,368,531 #DOGE (21,402,400 USD) move from unknown wallet to unknown wallet
 
Date : 2021-05-08 06:22:04 (GMT 0)
Blockchain : #DOGECOIN
Symbol : #DOGE
 
Detail: https://t.co/sC4JHEc96W","ğŸ’°31,368,531 #doge (21,402,400 usd) move from unknown wallet to unknown wallet
 
date : 2021-05-08 06:22:04 (gmt 0)
blockchain : #dogecoin
symbol : #doge
 
detail: https://t.co/sc4jhec96w",-0.1,0.6,neutral,0.0,1.0,0.0,0.0
52,RT @TammyHanners1: WE ARE GOING TO BREAK .50 TODAY FOR SURE! #DOGECOIN #DOGECOINRISE #DOGETOTHEMOON https://t.co/YsV0CcdgLB, we are going to break .50 today for sure! #dogecoin #dogecoinrise #dogetothemoon https://t.co/ysv0ccdglb,0.625,0.8888888888888888,positive,,,,
53,RT @beautybyeee: Yassss letâ€™s do this ğŸš€ğŸš€ğŸš€â€¦ the sky or should I say the MOON is the limit ğŸŒ™ğŸš€ @dogecoin #dogecoin #dogetothemoon #dogearmy, yassss letâ€™s do this ğŸš€ğŸš€ğŸš€â€¦ the sky or should i say the moon is the limit ğŸŒ™ğŸš€ @dogecoin #dogecoin #dogetothemoon #dogearmy,0.0,0.0,neutral,0.0,1.0,0.0,0.0
54,RT @Investments_CEO: Retweet if you want to see #Dogecoin pass the $1.00 tomorrow! ğŸš€ğŸ“ˆ, retweet if you want to see #dogecoin pass the $1.00 tomorrow! ğŸš€ğŸ“ˆ,0.0,0.0,positive,,,,
55,RT @RoguePinata: Let's take it beyond the moon! This has massive potential! #dogecoin https://t.co/NE6rrFCwvG, let's take it beyond the moon! this has massive potential! #dogecoin https://t.co/ne6rrfcwvg,0.0,1.0,neutral,0.0,1.0,0.0,0.0
56,RT @SPRINVST: How were all looking seeing our little #DOGE grow up in front of our eyes ğŸ¥ºâ¤ï¸ğŸ•ğŸš€ #DogeToTheMoon #DogeCoin https://t.co/3W64BGgâ€¦, how were all looking seeing our little #doge grow up in front of our eyes ğŸ¥ºâ¤ï¸ğŸ•ğŸš€ #dogetothemoon #dogecoin https://t.co/3w64bggâ€¦,-0.1875,0.5,neutral,0.0,1.0,0.0,0.0
57,RT @itsALLrisky: Weâ€™re going where no Doge has gone before.. #DogecoinToTheMoon ğŸš€ #dogecoins #dogecoin #dogearmy #doge #DogecoinTo1Dollar hâ€¦, weâ€™re going where no doge has gone before.. #dogecointothemoon ğŸš€ #dogecoins #dogecoin #dogearmy #doge #dogecointo1dollar hâ€¦,0.0,0.0,negative,,,,
59,RT @Mikert09673280: #eth #etc #dogecoin to the moon, #eth #etc #dogecoin to the moon,0.0,0.0,neutral,0.0,1.0,0.0,0.0
60,RT @AshlarPCK: Guess where is this heading to? ğŸ˜ˆ #dogecoin #dogearmy #dogefather #dogetothemoon #dogefamily https://t.co/oYSZqN8Hz1, guess where is this heading to? ğŸ˜ˆ #dogecoin #dogearmy #dogefather #dogetothemoon #dogefamily https://t.co/oyszqn8hz1,0.0,0.0,neutral,0.0,1.0,0.0,0.0
62,RT @the_praj: What if it is going to be a doge commercial? Buy more. #Dogecoin #dogetothemoon #Dogecoinarmy https://t.co/vVvmuDa4Cs, what if it is going to be a doge commercial? buy more. #dogecoin #dogetothemoon #dogecoinarmy https://t.co/vvvmuda4cs,0.25,0.25,neutral,0.0,1.0,0.0,0.0
63,"RT @cryptocom: Trade #Dogecoin in the https://t.co/vCNztABJoG App and enter to win a share of USD $100,000 in $DOGE

ğŸ†10 winners selected wâ€¦"," trade #dogecoin in the https://t.co/vcnztabjog app and enter to win a share of usd $100,000 in $doge

ğŸ†10 winners selected wâ€¦",0.8,0.4,positive,,,,
64,"RT @JayThreetimesss: Much thanks to you all, this â€œmemeâ€ currency is really going to change my life for the better. #doge #dogecoin #DogeCoâ€¦"," much thanks to you all, this â€œmemeâ€ currency is really going to change my life for the better. #doge #dogecoin #dogecoâ€¦",0.3,0.3,positive,,,,
65,I reached my follow back limit for the dayğŸ˜ª#Dogecoin https://t.co/OdqxeafjGU,i reached my follow back limit for the dayğŸ˜ª#dogecoin https://t.co/odqxeafjgu,0.0,0.0,positive,,,,
67,RT @Investments_CEO: #Dogecoin is worth so much more than $1.00!, #dogecoin is worth so much more than $1.00!,0.4625,0.3,positive,,,,
68,"RT @ashwsbreal: Like if you have less than
10,000 #dogecoinÂ  

Retweet if you have more than 
10,000 #dogecoin"," like if you have less than
10,000 #dogecoinÂ  

retweet if you have more than 
10,000 #dogecoin",0.16666666666666669,0.2833333333333333,positive,,,,
69,"RT @Lilmook4real: The only people mad about #Dogecoin are the media, the people who donâ€™t own any or bought at the top. Sorry not sorryâ€¦"," the only people mad about #dogecoin are the media, the people who donâ€™t own any or bought at the top. sorry not sorryâ€¦",-0.0050000000000000044,0.9,negative,,,,
70,RT @martabassof: $doge #dogecoin in questo momento: https://t.co/zYOW8FCx7l, $doge #dogecoin in questo momento: https://t.co/zyow8fcx7l,0.0,0.0,neutral,0.0,1.0,0.0,0.0
71,"RT @Dogeinvesting: Do you own more than 500 #Dogecoin ? ğŸ•ğŸ“ˆğŸš€ğŸ‘€

YES        YES        YES 
ğŸ‘‡           ğŸ‘‡           ğŸ‘‡"," do you own more than 500 #dogecoin ? ğŸ•ğŸ“ˆğŸš€ğŸ‘€

yes        yes        yes 
ğŸ‘‡           ğŸ‘‡           ğŸ‘‡",0.55,0.75,positive,,,,
72,"RT @dogeillionaires: Rep your doge! Show em you hodl!!

#dogecoin #Dogecoinarmy #dogearmy #dogetothemoon https://t.co/3TMkqkSrAz"," rep your doge! show em you hodl!!

#dogecoin #dogecoinarmy #dogearmy #dogetothemoon https://t.co/3tmkqksraz",0.0,0.0,neutral,0.0,1.0,0.0,0.0
73,"ğŸ’°30,459,684 #DOGE (20,782,300 USD) move from unknown wallet to unknown wallet
 
Date : 2021-05-08 06:22:04 (GMT 0)
Blockchain : #DOGECOIN
Symbol : #DOGE
 
Detail: https://t.co/D3jrnW4NDi","ğŸ’°30,459,684 #doge (20,782,300 usd) move from unknown wallet to unknown wallet
 
date : 2021-05-08 06:22:04 (gmt 0)
blockchain : #dogecoin
symbol : #doge
 
detail: https://t.co/d3jrnw4ndi",-0.1,0.6,neutral,0.0,1.0,0.0,0.0
74,"RT @LovecoinProject: Announcement: We are launching the Lovecoin Token Airdrop (Part 2) - Claim up to 100,000 Free Lovecoin Tokens: https:/â€¦"," announcement: we are launching the lovecoin token airdrop (part 2) - claim up to 100,000 free lovecoin tokens: https:/â€¦",0.4,0.8,positive,,,,
76,"RT @flurbnb: $100 in #DogeCoin to one person in 24 hours

Retweet &amp; follow me

#giveaway #doge #dogearmy #dogecoins #dogefather #dogetokenâ€¦"," $100 in #dogecoin to one person in 24 hours

retweet &amp; follow me

#giveaway #doge #dogearmy #dogecoins #dogefather #dogetokenâ€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
79,"RT @Aashir__Shaikh: #SNLdoge 12:30pm Sunday 9 May, Asia
ğŸ¶ğŸ•ğŸ¾ğŸŒ‘ğŸš€ğŸ¤‘ğŸ’°ğŸ’±ğŸ’¸ğŸ’µ
#doge #dogecoin #dogearmy #ElonMusk #dogetothemoon #DogeCoinTo1Dollar htâ€¦"," #snldoge 12:30pm sunday 9 may, asia
ğŸ¶ğŸ•ğŸ¾ğŸŒ‘ğŸš€ğŸ¤‘ğŸ’°ğŸ’±ğŸ’¸ğŸ’µ
#doge #dogecoin #dogearmy #elonmusk #dogetothemoon #dogecointo1dollar htâ€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
80,RT @cryptoknightwin: All the #dogearmy cant be stopped! When #dogecoin trends more then the president for weeks! Twitter starts taking it oâ€¦, all the #dogearmy cant be stopped! when #dogecoin trends more then the president for weeks! twitter starts taking it oâ€¦,0.625,0.5,positive,,,,
81,"@LovecoinProject Good project 

@yhazony 
@GVNlab 
@JJNutrition 

#lovecoin #lovecointoken #airdrop #bitcoin #cryptocurrency #dogecoin","@lovecoinproject good project 

@yhazony 
@gvnlab 
@jjnutrition 

#lovecoin #lovecointoken #airdrop #bitcoin #cryptocurrency #dogecoin",0.7,0.6000000000000001,positive,,,,
82,"RT @DogeCoinCoach: Here are the show times for #SNL  depending where you live #dogecoin will make history donâ€™t miss outğŸš€

Sat 8:30PM Pacifâ€¦"," here are the show times for #snl  depending where you live #dogecoin will make history donâ€™t miss outğŸš€

sat 8:30pm pacifâ€¦",0.13636363636363635,0.5,negative,,,,
83,Impulse buy on #dogecoin?,impulse buy on #dogecoin?,0.0,0.0,neutral,0.0,1.0,0.0,0.0
86,"RT @TheDogeDaily: Coinbase hits record low as investors flock to Dogecoin, Binance ğŸ‘€, the entire #dogearmy warned you @coinbase. #dogecoin"," coinbase hits record low as investors flock to dogecoin, binance ğŸ‘€, the entire #dogearmy warned you @coinbase. #dogecoin",0.0,0.4625,negative,,,,
87,"RT @Dogecoinvalue: The current price of one DOGE is now: $0.7306!

One MDOGE is worth $730,616.0649.

Total volume in last 24H: $28,389,133â€¦"," the current price of one doge is now: $0.7306!

one mdoge is worth $730,616.0649.

total volume in last 24h: $28,389,133â€¦",0.075,0.32916666666666666,positive,,,,
88,RT @lisadoge: Safe to say #dogecoin is the future, safe to say #dogecoin is the future,0.25,0.3125,positive,,,,
89,"RT @bscCryptoGem: What coin is the next one exploding?!?!?!?!

ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’

#BSC #BSCGem #BinanceSmartChain #Binance #Bitcoin #Doge #dogecoin #â€¦"," what coin is the next one exploding?!?!?!?!

ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’

#bsc #bscgem #binancesmartchain #binance #bitcoin #doge #dogecoin #â€¦",0.0,0.0,neutral,0.0,1.0,0.0,0.0
90,"RT @DesiCryptoGirl1: #dogecoin hits new #ATH , Eclipsing Twitter's marketcap ğŸ‰â¤ï¸ğŸ¤ª

#doge #DogecoinToTheMoon #Dogecoins #Dogecoinarmy  #Dogeâ€¦"," #dogecoin hits new #ath , eclipsing twitter's marketcap ğŸ‰â¤ï¸ğŸ¤ª

#doge #dogecointothemoon #dogecoins #dogecoinarmy  #dogeâ€¦",0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0
91,RT @Just_InTrades: It seems like everybody is mad at #dogecoin except the ones who bought it ğŸ˜‚, it seems like everybody is mad at #dogecoin except the ones who bought it ğŸ˜‚,-0.625,1.0,negative,,,,
92,RT @thekiddgio_: To the moon. #DogeCoinTo1Dollar #dogecoin https://t.co/1vmWzpDtX0, to the moon. #dogecointo1dollar #dogecoin https://t.co/1vmwzpdtx0,0.0,0.0,neutral,0.0,1.0,0.0,0.0
93,@EricG1247 $20k buys A LOT of #dogecoin just saying. #DogeCoinTo1Dollar #doge #ElonMuskGivemeADogeTweet,@ericg1247 $20k buys a lot of #dogecoin just saying. #dogecointo1dollar #doge #elonmuskgivemeadogetweet,0.0,0.0,neutral,0.0,1.0,0.0,0.0
94,RT @flurbnb: $1000 to someone who retweets this and follows @HachikoToken + joins telegram https://t.co/LjSmeFMOj8 in 7 days. Sponsor alsoâ€¦, $1000 to someone who retweets this and follows @hachikotoken + joins telegram https://t.co/ljsmefmoj8 in 7 days. sponsor alsoâ€¦,0.0,0.0,neutral,0.0,1.0,0.0,0.0
95,"RT @DogecoinObey: New wallpaper, whoâ€™s with me? #Dogecoinarmy #doge #DogecoinRise #dogecoin #dogearmy #Dogecoins #dogetothemoon #DogeToAdolâ€¦"," new wallpaper, whoâ€™s with me? #dogecoinarmy #doge #dogecoinrise #dogecoin #dogearmy #dogecoins #dogetothemoon #dogetoadolâ€¦",0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0
96,"RT @ChairwomanDoge: i need 69 cent #dogecoin again 

i miss it ğŸ¤ª"," i need 69 cent #dogecoin again 

i miss it ğŸ¤ª",0.0,0.0,negative,,,,
97,"RT @ChairwomanDoge: thatâ€™s the 69 cents i needed.. 

next stop $1 #dogecoin"," thatâ€™s the 69 cents i needed.. 

next stop $1 #dogecoin",0.0,0.0,negative,,,,
99,"RT @ChairwomanDoge: this is the rise we needed.. 

everyone tweet using #dogecoin 

letâ€™s get trending on twitter!!"," this is the rise we needed.. 

everyone tweet using #dogecoin 

letâ€™s get trending on twitter!!",0.0,0.0,neutral,0.0,1.0,0.0,0.0
